Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
Premier American Bank,Miami,Florida,57147,"Premier American Bank, N.A.",2010-01-22,10173
First Regional Bank,Los Angeles,California,23011,First-Citizens Bank & Trust Company,2010-01-29,10177
American Marine Bank,Bainbridge Island,Washington,16730,Columbia State Bank,2010-01-29,10178
First National Bank of Georgia,Carrollton,Georgia,16480,Community & Southern Bank,2010-01-29,10179
Community Bank & Trust,Cornelia,Georgia,5702,SCBT National Association,2010-01-29,10180
Florida Community Bank,Immokalee,Florida,5672,"Premier American Bank, N.A.",2010-01-29,10181
"Marshall Bank, N.A.",Hallock,Minnesota,16133,United Valley Bank,2010-01-29,10182
1st American State Bank of Minnesota,Hancock,Minnesota,15448,"Community Development Bank, FSB",2010-02-05,10183
George Washington Savings Bank,Orland Park,Illinois,29952,"FirstMerit Bank, N.A.",2010-02-19,10184
"La Jolla Bank, FSB",La Jolla,California,32423,"OneWest Bank, FSB",2010-02-19,10185
The La Coste National Bank,La Coste,Texas,3287,Community National Bank,2010-02-19,10186
Marco Community Bank,Marco Island,Florida,57586,Mutual of Omaha Bank,2010-02-19,10187
Rainier Pacific Bank,Tacoma,Washington,38129,Umpqua Bank,2010-02-26,10189
Carson River Community Bank,Carson City,Nevada,58352,Heritage Bank of Nevada,2010-02-26,10188
Centennial Bank,Ogden,Utah,34430,No Acquirer,2010-03-05,10193
Sun American Bank,Boca Raton,Florida,27126,First-Citizens Bank & Trust Company,2010-03-05,10192
Waterfield Bank,Germantown,Maryland,34976,No Acquirer,2010-03-05,10190
Bank of Illinois,Normal,Illinois,9268,Heartland Bank and Trust Company,2010-03-05,10191
LibertyPointe Bank,New York,New York,58071,Valley National Bank,2010-03-11,10194
The Park Avenue Bank,New York,New York,27096,Valley National Bank,2010-03-12,10195
Statewide Bank,Covington,Louisiana,29561,Home Bank,2010-03-12,10196
Old Southern Bank,Orlando,Florida,58182,Centennial Bank,2010-03-12,10197
First Lowndes Bank,Fort Deposit,Alabama,24957,First Citizens Bank,2010-03-19,10204
State Bank of Aurora,Aurora,Minnesota,8221,Northern State Bank,2010-03-19,10203
Bank of Hiawassee,Hiawassee,Georgia,10054,Citizens South Bank,2010-03-19,10202
Advanta Bank Corp.,Draper,Utah,33535,No Acquirer,2010-03-19,10200
Appalachian Community Bank,Ellijay,Georgia,33989,Community & Southern Bank,2010-03-19,10199
Century Security Bank,Duluth,Georgia,58104,Bank of Upson,2010-03-19,10198
American National Bank,Parma,Ohio,18806,The National Bank and Trust Company,2010-03-19,10201
Desert Hills Bank,Phoenix,Arizona,57060,New York Community Bank,2010-03-26,10205
Key West Bank,Key West,Florida,34684,Centennial Bank,2010-03-26,10206
McIntosh Commercial Bank,Carrollton,Georgia,57399,CharterBank,2010-03-26,10207
Unity National Bank,Cartersville,Georgia,34678,Bank of the Ozarks,2010-03-26,10208
Beach First National Bank,Myrtle Beach,South Carolina,34242,Bank of North Carolina,2010-04-09,10209
